Rank,Empresa,Setor,Volume 2024 (tCO2e),Volume 2025 (tCO2e),Delta (%),Delta (tCO2),Volume 2026 (YTD)
37,Suzano,Papel e Celulose,220,260,"+18,18%",+40.000,115
38,Vale,Mineração,240,250,"+4,17%",+10.000,105
39,Klabin,Papel e Celulose,190,220,"+15,79%",+30.000,95
40,JBS,Alimentos,180,210,"+16,67%",+30.000,90
41,Cosan,Bioenergia,170,195,"+14,71%",+25.000,85
42,EKI Energy Services,Desenvolvedor / Consultoria,250,190,"-24,00%",-60,80
43,ClimeCo,Intermediário / Soluções,210,185,"-11,90%",-25,85
44,EcoAct,Consultoria / Soluções,220,180,"-18,18%",-40,75
45,Ecosecurities,Intermediário / Desenvolvedor,190,175,"-7,89%",-15,70
46,Finite Carbon,Silvicultura / Desenvolvedor,180,170,"-5,56%",-10,65
47,BCG,Consultoria,120,160,"+33,33%",+40.000,75
48,McKinsey & Company,Consultoria,110,150,"+36,36%",+40.000,70
49,Swiss Re,Seguros / Financeiro,130,145,"+11,54%",+15.000,65
50,Porsche,Automotivo,140,135,"-3,57%",-5,55
,,,,,,,
,,,,,,,
,,,,,,,
Tendências Observadas nos Dados (2024–2026),,,,,,,
,,,,,,,
"Mudança de Volume para Valor (""Flight to Quality""): Como observado na queda acentuada do volume da Shell e de outros gigantes do setor energético, muitas corporações reduziram o volume bruto de créditos de ""baixa qualidade"" (como os créditos legados de desmatamento evitado de metodologias antigas) devido à pressão reputacional.",,,,,,,
,,,,,,,
"A Ascensão das Tecnologias de Remoção (CDR): Empresas de tecnologia (como Microsoft, Stripe e Shopify) vêm aumentando significativamente seus aportes. Embora comprem menor volume total em toneladas se comparadas ao setor de óleo e gás, elas investem bilhões de dólares em contratos futuros de remoção durável de engenharia (como DAC e biochar), cujos preços por tonelada são drasticamente maiores.",,,,,,,
,,,,,,,
"Destaque do Mercado Brasileiro: Empresas do agro, papel/celulose e energia (como Natura, Suzano, Klabin e Cosan) seguem como referências de mercado por atuarem tanto no desenvolvimento direto de soluções baseadas na natureza (NbS) quanto em Programas de Eficiência de Carbono.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Referências Bibliográficas (Padrão ABNT),,,,,,,
,,,,,,,
"ECOSYSTEM MARKETPLACE. State of the Voluntary Carbon Markets 2024/2025: insights and trends. Washington, DC: Forest Trends, 2025. Disponível em: https://www.ecosystemmarketplace.com. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
"MICROSOFT CORPORATION. 2024 Environmental Sustainability Report: pathways to net-zero. Redmond: Microsoft, 2025. Disponível em: https://www.microsoft.com/sustainability. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
"MSCI CARBON MARKETS. Global Carbon Markets: annual review and corporate purchase tracking. London: MSCI, 2025. Disponível em: https://www.msci.com/our-solutions/climate-investing/carbon-markets. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
"SHELL PLC. Shell Sustainability Report 2024: strategic carbon management and offsets. London: Shell, 2025. Disponível em: https://www.shell.com/sustainability. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
"SYLVERA. The Carbon Market Report: flight to quality and technological carbon removals. London: Sylvera, 2025. Disponível em: https://www.sylvera.com. Acesso em: 8 jun. 2026.",,,,,,,
,,,,,,,
"VERRA. Verified Carbon Standard Registry: dynamic tracking of credit issuances and allocations. Washington, DC: Verra, 2026. Disponível em: https://registry.verra.org. Acesso em: 8 jun. 2026.",,,,,,,
